id,title,subtitle,publication date,genres,naver rating,imdb rating,vote_count,critic_rating,director,actor,review
19556,미스 마치,Miss March,2009,코미디 로맨스,5.57,5.4,78,,잭크레거 트레버무어,잭크레거 트레버무어 라퀴엘알레시,
20483,캐치 댓 머니,Catch That Kid,2004,가족 액션 어드벤쳐,5.78,5,78,,바트프룬디치,크리스틴스튜어트 코빈블루,
14396,코드 네임 - 클리너,Code Name: The Cleaner,2007,액션 코미디 범죄,5.52,4.7,78,,레스메이필드,세드릭더엔터테이너 루시리우,
12900,컨스피러시,Conspiracy,2001,드라마 역사,8.22,6.9,77,,프랭크피어슨,케네스브래너 스탠리투치 콜린퍼스,
12400,레드벨트,Redbelt,2008,드라마,6.84,6.4,77,,데이비드마멧,치웨텔에지오포 팀알렌 앨리스브라가 호세파블로칸틸로 랜디커투어 리키제이 조맨테그나 맥스마티니 에밀리모티머 데이빗페이머 레베카피죤 로드리고산토로,
16781,마디아 가족의 재결합,Madea's Family Reunion,2006,드라마 코미디 로맨스,4.82,6,77,,타일러페리,타일러페리 블레어언더우드 린휘트필드 보리스코조 리사아린델앤더슨,
77221,블랙 골드,Black Gold,2011,어드벤쳐 드라마,7.93,5.9,77,,장자크아노,타하르라힘 마크스트롱 안토니오반데라스 프리다핀토,
9095,메리 라일리,Mary Reilly,1996,드라마 호러 스릴러 로맨스,7.77,5.7,77,,스티븐프리어즈,줄리아로버츠 존말코비치,
12499,파더스 데이,Fathers' Day,1997,코미디 가족,6.91,5.1,77,,이반라이트만,로빈윌리엄스 빌리크리스탈 줄리아루이스드레이퍼스 나스타샤킨스키 찰리호프하이머,
12634,빅 바운스,The Big Bounce,2004,코미디 범죄,3.33,5,77,,조지아미터지,오웬윌슨 모건프리먼,
9997,가브리엘,Gabriel,2007,판타지 호러 액션 SF,6.41,5,77,,쉐인아베스,앤디위필드 드웨인스티븐슨,
13411,말리부의 8마일,Malibu's Most Wanted,2003,코미디 범죄,7.3,4.7,77,,존화이트셀,제이미케네디 타이딕스,
10451,음식남녀,Eat Drink Man Woman,1994,코미디 드라마 로맨스,8.27,7.5,76,3.5,이안,랑웅,
10938,뷰티풀 씽,Beautiful Thing,1996,코미디 드라마 로맨스,9,7.3,76,,헤티맥도널드,미라시알 마틴월쉬,
11779,부에나 비스타 소셜 클럽,Buena Vista Social Club,1999,다큐멘터리 음악,8.78,7.3,76,,빔벤더스,꼼빠이세군도 엘리아데스오초아 이브라힘페레르 오마라포르투온도,
11012,데미지,Damage,1992,드라마 로맨스,7.53,6.7,76,,루이말,제레미아이언스 줄리엣비노쉬,
919,블러드 - 라스트 뱀파이어,Blood: The Last Vampire,2000,판타지 애니메이션 호러 코미디 스릴러 SF,7.47,6.6,76,,키타쿠보히로유키,쿠도유키 나카무라사에미 조로머사 레베카포스타트 스튜어트로빈슨 코테야마아키라,
12524,타이투스,Titus,1999,드라마 역사 스릴러,6.57,6.5,76,,줄리테이머,안소니홉킨스 제시카랭,
